Date,Open,High,Low,Close,Volume,Market Cap
2018-04-15,7999.33,8338.42,7999.33,8329.11,5244480000.00,135812000000.00
2018-04-14,7874.67,8140.71,7846.00,7986.24,5191430000.00,133682000000.00
2018-04-13,7901.09,8183.96,7758.93,7895.96,7764460000.00,134114000000.00
2018-04-12,6955.38,7899.23,6806.51,7889.25,8906250000.00,118048000000.00
2018-04-11,6843.47,6968.32,6817.59,6968.32,4641890000.00,116126000000.00
2018-04-10,6795.44,6872.41,6704.15,6834.76,4272750000.00,115306000000.00
2018-04-09,7044.32,7178.11,6661.99,6770.73,4894060000.00,119516000000.00
2018-04-08,6919.98,7111.56,6919.98,7023.52,3652500000.00,117392000000.00
2018-04-07,6630.51,7050.54,6630.51,6911.09,3976610000.00,112467000000.00
2018-04-06,6815.96,6857.49,6575.00,6636.32,3766810000.00,115601000000.00
2018-04-05,6848.65,6933.82,6644.80,6811.47,5639320000.00,116142000000.00
2018-04-04,7456.41,7469.88,6803.88,6853.84,4936000000.00,126434000000.00
2018-04-03,7102.26,7530.94,7072.49,7456.11,5499700000.00,120415000000.00
2018-04-02,6844.86,7135.47,6816.58,7083.80,4333440000.00,116037000000.00
2018-04-01,7003.06,7060.95,6526.87,6844.23,4532100000.00,118705000000.00
2018-03-31,6892.48,7207.85,6863.52,6973.53,4553270000.00,116820000000.00
2018-03-30,7171.45,7276.66,6683.93,6890.52,6289510000.00,121534000000.00
2018-03-29,7979.07,7994.33,7081.38,7165.70,6361230000.00,135205000000.00
2018-03-28,7836.83,8122.89,7809.17,7954.48,4935290000.00,132781000000.00
2018-03-27,8200.00,8232.78,7797.28,7833.04,5378250000.00,138919000000.00
2018-03-26,8498.47,8530.08,7921.43,8209.40,5921040000.00,143960000000.00
2018-03-25,8612.81,8682.01,8449.10,8495.78,4569880000.00,145882000000.00
2018-03-24,8901.95,8996.18,8665.70,8668.12,5664600000.00,150762000000.00
2018-03-23,8736.25,8879.62,8360.62,8879.62,5954120000.00,147941000000.00
2018-03-22,8939.44,9100.71,8564.90,8728.47,5530390000.00,151366000000.00
2018-03-21,8937.48,9177.37,8846.33,8929.28,6043130000.00,151316000000.00
2018-03-20,8619.67,9051.02,8389.89,8913.47,6361790000.00,145922000000.00
2018-03-19,8344.12,8675.87,8182.40,8630.65,6729110000.00,141240000000.00
2018-03-18,7890.52,8245.51,7397.99,8223.68,6639190000.00,133547000000.00
2018-03-17,8321.91,8346.53,7812.82,7916.88,4426150000.00,140834000000.00
2018-03-16,8322.91,8585.15,8005.31,8338.35,5289380000.00,140834000000.00
2018-03-15,8290.76,8428.35,7783.05,8300.86,6834430000.00,140275000000.00
2018-03-14,9214.65,9355.85,8068.59,8269.81,6438230000.00,155891000000.00
2018-03-13,9173.04,9470.38,8958.19,9194.85,5991140000.00,155168000000.00
2018-03-12,9602.93,9937.50,8956.43,9205.12,6457400000.00,162421000000.00
2018-03-11,8852.78,9711.89,8607.12,9578.63,6296370000.00,149716000000.00
2018-03-10,9350.59,9531.32,8828.47,8866.00,5386320000.00,158119000000.00
2018-03-09,9414.69,9466.35,8513.03,9337.55,8704190000.00,159185000000.00
2018-03-08,9951.44,10147.40,9335.87,9395.01,7186090000.00,168241000000.00
2018-03-07,10803.90,10929.50,9692.12,9965.57,8797910000.00,182631000000.00
2018-03-06,11500.10,11500.10,10694.30,10779.90,6832170000.00,194378000000.00
2018-03-05,11532.40,11704.10,11443.90,11573.30,6468540000.00,194903000000.00
2018-03-04,11497.40,11512.60,11136.10,11512.60,6084150000.00,194289000000.00
2018-03-03,11101.90,11528.20,11002.40,11489.70,6690570000.00,187581000000.00
2018-03-02,10977.40,11189.00,10850.10,11086.40,7620590000.00,185456000000.00
2018-03-01,10385.00,11052.30,10352.70,10951.00,7317280000.00,175427000000.00
2018-02-28,10687.20,11089.80,10393.10,10397.90,6936190000.00,180510000000.00
2018-02-27,10393.90,10878.50,10246.10,10725.60,6966180000.00,175536000000.00
2018-02-26,9669.43,10475.00,9501.73,10366.70,7287690000.00,163283000000.00
2018-02-25,9796.42,9923.22,9407.06,9664.73,5706940000.00,165407000000.00
2018-02-24,10287.70,10597.20,9546.97,9813.07,6917930000.00,173682000000.00
2018-02-23,9937.07,10487.30,9734.56,10301.10,7739500000.00,167746000000.00
2018-02-22,10660.40,11039.10,9939.09,10005.00,8040080000.00,179936000000.00
2018-02-21,11372.20,11418.50,10479.10,10690.40,9405340000.00,191927000000.00
2018-02-20,11231.80,11958.50,11231.80,11403.70,9926540000.00,189536000000.00
2018-02-19,10552.60,11273.80,10513.20,11225.30,7652090000.00,178055000000.00
2018-02-18,11123.40,11349.80,10326.00,10551.80,8744010000.00,187663000000.00
