Date,Open,High,Low,Close,Volume,Market Cap
28-Apr-18,16.69,19.51,16.69,18.87,"2,728,300,000","13,698,900,000"
27-Apr-18,15.47,17.95,14.99,16.67,"2,486,410,000","12,669,800,000"
26-Apr-18,14.43,15.49,14,15.49,"1,566,850,000","11,789,900,000"
25-Apr-18,15.1,15.54,13.6,14.46,"3,005,040,000","12,303,900,000"
24-Apr-18,11.73,16,11.73,15.31,"3,223,780,000","9,530,670,000"
23-Apr-18,11.33,11.79,11.32,11.61,"662,116,000","9,186,100,000"
22-Apr-18,11.07,11.83,10.81,11.35,"1,001,900,000","8,955,950,000"
21-Apr-18,11.58,11.65,10.31,11.11,"1,142,260,000","9,340,280,000"
20-Apr-18,9.51,11.57,9.51,11.45,"1,512,340,000","7,652,010,000"
19-Apr-18,9.02,9.44,8.96,9.44,"554,116,000","7,233,090,000"
18-Apr-18,8.49,9.15,8.49,9.03,"518,189,000","6,792,740,000"
17-Apr-18,8.13,8.99,8.09,8.51,"798,768,000","6,492,150,000"
16-Apr-18,8.39,8.39,7.84,8.1,"455,204,000","6,667,990,000"
15-Apr-18,8.63,8.63,7.72,8.4,"861,263,000","6,845,830,000"
14-Apr-18,8.75,8.93,8.08,8.6,"811,487,000","6,916,390,000"
13-Apr-18,8.71,9.27,8.53,8.74,"936,743,000","6,866,660,000"
12-Apr-18,8.5,9.05,8,8.7,"1,717,360,000","6,683,280,000"
11-Apr-18,6,8.82,5.99,8.49,"1,818,530,000","4,706,770,000"
10-Apr-18,5.88,6.07,5.8,6,"225,494,000","4,600,680,000"
9-Apr-18,5.98,6.07,5.8,5.87,"226,565,000","4,666,280,000"
8-Apr-18,5.9,6.01,5.85,5.97,"166,915,000","4,587,800,000"
7-Apr-18,5.88,6.04,5.85,5.91,"220,028,000","4,561,700,000"
6-Apr-18,6.36,6.41,5.76,5.89,"451,441,000","4,918,340,000"
5-Apr-18,5.72,6.46,5.5,6.4,"542,464,000","4,419,560,000"
4-Apr-18,6.11,6.14,5.61,5.73,"260,820,000","4,702,420,000"
3-Apr-18,5.9,6.19,5.82,6.13,"306,369,000","4,529,740,000"
2-Apr-18,5.68,5.96,5.56,5.89,"314,995,000","4,348,740,000"
1-Apr-18,6,6.04,5.25,5.66,"401,303,000","4,580,830,000"
31-Mar-18,6.11,6.22,5.96,5.99,"224,213,000","4,650,950,000"
30-Mar-18,6.03,6.2,5.86,6.1,"506,610,000","4,576,620,000"
29-Mar-18,6.31,6.37,5.92,6.02,"626,903,000","4,777,000,000"
28-Mar-18,5.88,6.55,5.82,6.29,"616,042,000","4,442,050,000"
27-Mar-18,5.9,6.44,5.28,5.91,"877,543,000","4,447,060,000"
26-Mar-18,6.53,6.57,5.42,5.9,"553,672,000","4,906,950,000"
25-Mar-18,6.6,6.76,6.49,6.52,"274,460,000","4,947,110,000"
24-Mar-18,6.99,7.12,6.63,6.63,"357,179,000","5,218,490,000"
