Date,Open,High,Low,Close,Volume,Market Cap
15-Apr-18,502.88,531.7,502.88,531.7,"1,726,090,000","49,696,300,000"
14-Apr-18,492.58,512.02,488.28,501.48,"1,519,080,000","48,668,400,000"
13-Apr-18,493.16,526.47,482.66,492.74,"2,419,250,000","48,715,400,000"
12-Apr-18,430.16,493.06,417.41,492.94,"2,519,360,000","42,483,600,000"
11-Apr-18,415.02,430.54,412.47,430.54,"1,439,040,000","40,980,200,000"
10-Apr-18,399.41,415.89,393.88,414.24,"1,196,000,000","39,430,400,000"
9-Apr-18,400.86,429.25,390.61,398.53,"1,478,390,000","39,565,100,000"
8-Apr-18,385.74,402.59,385.6,400.51,"948,488,000","38,065,400,000"
7-Apr-18,370.38,393.06,369.94,385.31,"951,475,000","36,541,900,000"
6-Apr-18,382.73,385.2,366.91,370.29,"967,106,000","37,752,600,000"
5-Apr-18,379.95,387.72,369.82,383.23,"1,210,680,000","37,470,200,000"
4-Apr-18,416.49,417.47,375.31,380.54,"1,287,730,000","41,065,100,000"
3-Apr-18,387.31,418.97,383.53,416.89,"1,363,400,000","38,180,800,000"
2-Apr-18,379.7,395.17,377.59,386.43,"1,102,260,000","37,422,500,000"
1-Apr-18,397.25,400.53,363.81,379.61,"1,256,930,000","39,144,700,000"
31-Mar-18,395,418.47,392.95,396.46,"1,323,920,000","38,914,900,000"
30-Mar-18,385.91,409.93,368.63,394.65,"1,878,130,000","38,010,600,000"
29-Mar-18,448.08,450.81,385.81,385.97,"1,970,230,000","44,125,000,000"
28-Mar-18,450.29,466.21,444.86,446.28,"1,514,180,000","44,334,000,000"
27-Mar-18,489.59,491.46,449.97,450.12,"1,617,940,000","48,193,300,000"
26-Mar-18,524.29,526.38,470.44,489.95,"1,638,880,000","51,598,000,000"
25-Mar-18,522.7,535.82,515.66,524.29,"1,151,170,000","51,431,600,000"
24-Mar-18,542.57,545.38,526.08,526.44,"1,300,010,000","53,375,400,000"
23-Mar-18,539.86,540.49,512.13,539.62,"1,596,350,000","53,098,100,000"
22-Mar-18,562.1,577.57,523.09,539.7,"1,523,460,000","55,273,800,000"
21-Mar-18,559.1,589.61,550.57,561.73,"1,781,270,000","54,967,300,000"
20-Mar-18,556.72,567.09,521.2,557.18,"1,833,680,000","54,722,100,000"
19-Mar-18,546.63,558.1,519.12,556.73,"2,046,790,000","53,718,600,000"
18-Mar-18,551.64,551.64,460.09,538.64,"2,685,500,000","54,200,100,000"
17-Mar-18,601.68,609.15,549.1,552.78,"1,267,810,000","59,104,200,000"
16-Mar-18,611.78,623.17,587.86,601.67,"1,417,350,000","60,083,700,000"
15-Mar-18,614.84,620.62,579.51,611.3,"1,770,460,000","60,371,800,000"
14-Mar-18,691.22,702.78,594.1,614.29,"1,810,560,000","67,857,600,000"
13-Mar-18,698.15,713.74,682.35,690.83,"1,425,960,000","68,524,000,000"
12-Mar-18,724.41,742.51,683.27,699.83,"1,765,000,000","71,086,000,000"
11-Mar-18,685.31,735.83,668.12,723.34,"1,562,680,000","67,235,700,000"
10-Mar-18,730.16,748.03,682.7,686.89,"1,532,960,000","71,620,700,000"
9-Mar-18,702.2,729.16,648.11,728.92,"2,233,020,000","68,863,600,000"
8-Mar-18,752.57,773.77,696.17,704.6,"1,891,640,000","73,788,400,000"
7-Mar-18,816.27,825.61,726.55,752.83,"2,175,420,000","80,017,300,000"
6-Mar-18,853.82,853.82,809.93,816.95,"1,943,070,000","83,680,400,000"
5-Mar-18,866.85,869.92,853.52,853.68,"1,898,490,000","84,939,700,000"
4-Mar-18,856.19,867.95,840.28,866.68,"1,697,940,000","83,877,800,000"
3-Mar-18,856.71,868.45,855.21,857.23,"1,699,370,000","83,911,700,000"
2-Mar-18,871.76,876.38,852.42,856.85,"1,894,420,000","85,368,100,000"
1-Mar-18,856.01,880.3,851.92,872.2,"1,868,520,000","83,808,200,000"
28-Feb-18,877.93,890.11,855.12,855.2,"1,963,980,000","85,936,400,000"
27-Feb-18,870.37,896.26,867.1,878.27,"2,053,980,000","85,177,800,000"
26-Feb-18,845.28,880.39,842.32,869.32,"2,044,480,000","82,705,400,000"
25-Feb-18,839.46,853.15,822.38,844.81,"1,646,960,000","82,119,100,000"
24-Feb-18,861.59,879.53,818.55,840.52,"1,926,580,000","84,266,700,000"
23-Feb-18,811.59,886.32,794.79,864.19,"2,334,820,000","79,358,900,000"
22-Feb-18,849.26,875.93,802.67,812.85,"2,150,370,000","83,025,800,000"
21-Feb-18,894.14,912.38,830.56,849.97,"2,531,730,000","87,394,200,000"
20-Feb-18,943.57,965.27,892.95,895.37,"2,545,260,000","92,206,500,000"
19-Feb-18,921.67,957.78,921.55,943.87,"2,169,020,000","90,047,700,000"
18-Feb-18,973.35,982.93,915.45,923.92,"2,567,290,000","95,077,100,000"
17-Feb-18,944.75,976.6,940.75,974.12,"2,525,720,000","92,264,000,000"
16-Feb-18,934.79,950.01,917.85,944.21,"2,369,450,000","91,272,100,000"
15-Feb-18,923.73,951.95,911.11,936.98,"2,900,100,000","90,173,300,000"
14-Feb-18,844.28,926.43,844.28,923.56,"2,818,370,000","82,400,600,000"
13-Feb-18,869.29,870.71,828.84,845.26,"2,081,170,000","84,824,200,000"
12-Feb-18,817.51,875.94,817.51,868.71,"2,243,450,000","79,754,400,000"
11-Feb-18,859.29,859.29,788.22,814.66,"2,486,650,000","83,813,000,000"
10-Feb-18,882.47,917.4,825.58,860.42,"2,930,530,000","86,055,600,000"
9-Feb-18,818.48,884,788.83,883.87,"2,495,820,000","79,799,300,000"
8-Feb-18,755.84,845.09,755.84,817.81,"3,708,190,000","73,676,900,000"
7-Feb-18,790.43,851.2,723.43,757.07,"3,896,180,000","77,032,000,000"
6-Feb-18,707.74,796.44,574.42,793.12,"6,518,270,000","68,958,700,000"
5-Feb-18,834.96,856.65,644.6,697.95,"4,269,530,000","81,337,400,000"
4-Feb-18,964.67,969.03,805.06,834.68,"2,997,090,000","93,953,400,000"
3-Feb-18,919.21,991.94,847.69,964.02,"3,243,480,000","89,507,600,000"
2-Feb-18,"1,035.77","1,035.77",757.98,915.79,"6,713,290,000","100,836,000,000"
1-Feb-18,"1,119.37","1,161.35",984.82,"1,036.79","5,261,680,000","108,952,000,000"
31-Jan-18,"1,071.09","1,128.66","1,034.50","1,118.31","3,757,560,000","104,231,000,000"
30-Jan-18,"1,184.13","1,184.63","1,058.97","1,071.13","4,107,860,000","115,207,000,000"
29-Jan-18,"1,246.70","1,256.70","1,169.08","1,182.36","3,715,080,000","121,269,000,000"
28-Jan-18,"1,111.78","1,257.77","1,111.78","1,246.01","5,372,330,000","108,122,000,000"
27-Jan-18,"1,055.75","1,121.98","1,042.12","1,107.07","3,002,870,000","102,651,000,000"
26-Jan-18,"1,052.70","1,080.60",996.78,"1,055.17","3,617,690,000","102,334,000,000"
25-Jan-18,"1,063.22","1,104.66","1,034.74","1,056.03","4,050,190,000","103,335,000,000"
24-Jan-18,987.48,"1,062.44",965.81,"1,058.78","3,944,040,000","95,952,700,000"
23-Jan-18,"1,004.17","1,023.23",920.54,986.23,"3,556,700,000","97,554,300,000"
22-Jan-18,"1,055.35","1,089.10",930.74,"1,003.26","3,810,100,000","102,504,000,000"
21-Jan-18,"1,155.68","1,155.68","1,021.50","1,049.58","3,378,090,000","112,226,000,000"
20-Jan-18,"1,044.95","1,167.11","1,044.95","1,155.15","3,975,190,000","101,451,000,000"
19-Jan-18,"1,028.82","1,093.22","1,003.71","1,039.10","4,084,450,000","99,863,900,000"
18-Jan-18,"1,016.44","1,100.31",967.76,"1,036.28","5,938,320,000","98,642,100,000"
17-Jan-18,"1,061.34","1,090.23",780.92,"1,014.25","8,545,160,000","102,974,000,000"
16-Jan-18,"1,292.63","1,292.63",875.55,"1,053.69","8,405,140,000","125,389,000,000"
15-Jan-18,"1,365.21","1,390.59","1,290.60","1,291.92","4,781,100,000","132,404,000,000"
14-Jan-18,"1,397.48","1,400.56","1,286.21","1,366.77","4,841,630,000","135,503,000,000"
13-Jan-18,"1,270.47","1,432.88","1,270.47","1,396.42","5,746,760,000","123,163,000,000"
12-Jan-18,"1,158.29","1,296.04","1,120.09","1,273.20","5,222,300,000","112,263,000,000"
11-Jan-18,"1,268.09","1,337.30","1,135.17","1,154.93","7,235,900,000","122,879,000,000"
10-Jan-18,"1,300.34","1,417.38","1,226.60","1,255.82","9,214,950,000","125,976,000,000"
9-Jan-18,"1,146.00","1,320.98","1,145.49","1,299.74","7,965,460,000","110,999,000,000"
8-Jan-18,"1,158.26","1,266.93","1,016.05","1,148.53","8,450,970,000","112,164,000,000"
7-Jan-18,"1,043.01","1,153.17","1,043.01","1,153.17","5,569,880,000","100,981,000,000"
6-Jan-18,995.15,"1,060.71",994.62,"1,041.68","4,662,220,000","96,326,500,000"
5-Jan-18,975.75,"1,075.39",956.33,997.72,"6,683,150,000","94,423,900,000"
4-Jan-18,961.71,"1,045.08",946.09,980.92,"6,502,860,000","93,049,400,000"
3-Jan-18,886,974.47,868.45,962.72,"5,093,160,000","85,703,500,000"
2-Jan-18,772.35,914.83,772.35,884.44,"5,783,350,000","74,695,700,000"
1-Jan-18,755.76,782.53,742,772.64,"2,595,760,000","73,075,800,000"
