Date,Open,High,Low,Close,Volume,Market Cap
15-Apr-18,126.67,132.05,126.67,132.05,"274,427,000","7,104,120,000"
14-Apr-18,125.22,129.34,124.77,126.29,"258,806,000","7,021,250,000"
13-Apr-18,129.27,133.04,124.06,125.35,"458,040,000","7,246,460,000"
12-Apr-18,118.29,129.34,113.55,129.34,"587,511,000","6,629,030,000"
11-Apr-18,114.29,119.09,113.33,118.29,"230,069,000","6,403,270,000"
10-Apr-18,115.21,115.4,112.52,114.26,"202,879,000","6,453,330,000"
9-Apr-18,117.78,122.43,113.33,114.99,"260,171,000","6,595,640,000"
8-Apr-18,116.29,118.55,115.95,117.67,"194,664,000","6,510,420,000"
7-Apr-18,113.14,119.38,113.1,116.26,"211,470,000","6,332,130,000"
6-Apr-18,118.82,119.93,112.79,113.16,"233,190,000","6,648,250,000"
5-Apr-18,118.21,121.29,114.47,119.13,"294,022,000","6,612,510,000"
4-Apr-18,133.91,134.61,116.58,118.41,"380,351,000","7,488,700,000"
3-Apr-18,119.51,136.45,118.58,134.47,"375,409,000","6,681,650,000"
2-Apr-18,115.24,121.42,114.72,119.31,"271,703,000","6,441,120,000"
1-Apr-18,116.91,117.83,110.52,115.22,"274,182,000","6,532,610,000"
31-Mar-18,118.64,123.87,116.18,116.61,"295,439,000","6,627,590,000"
30-Mar-18,114.8,124.9,110.26,118.6,"468,439,000","6,411,740,000"
29-Mar-18,131.93,132.61,113.93,114.68,"476,804,000","7,365,950,000"
28-Mar-18,135.49,140.13,131.03,131.75,"328,374,000","7,563,030,000"
27-Mar-18,148.96,149.62,135.78,135.78,"385,104,000","8,312,700,000"
26-Mar-18,160.17,160.99,143.12,149.22,"407,135,000","8,935,560,000"
25-Mar-18,158.86,162.72,157.52,160.08,"241,431,000","8,860,500,000"
24-Mar-18,168.53,168.65,159.63,159.63,"290,270,000","9,397,290,000"
23-Mar-18,163.58,167.83,157.26,167.83,"348,056,000","9,118,940,000"
22-Mar-18,168.72,172.31,161.11,163.67,"404,997,000","9,403,220,000"
21-Mar-18,169.56,175.26,166.62,169.05,"462,536,000","9,447,220,000"
20-Mar-18,161.52,173.3,156.82,168.82,"492,892,000","8,997,260,000"
19-Mar-18,155.48,163.05,151.66,161.14,"504,833,000","8,658,190,000"
18-Mar-18,152.54,156.15,138.02,154.07,"595,955,000","8,492,470,000"
17-Mar-18,165.19,165.22,151.06,152.97,"403,809,000","9,194,360,000"
16-Mar-18,164.82,171.26,158.99,165.45,"436,628,000","9,171,160,000"
15-Mar-18,161.2,167.33,151.48,164.48,"564,609,000","8,967,720,000"
14-Mar-18,175.94,177.55,158.63,161.1,"480,653,000","9,785,030,000"
