Date,Ripple,Litecoin,EOS,Ethereum,Bitcoin,
2018-04-28,0.86,152.30,18.87,683.68,9348.48,
2018-04-27,0.81,145.91,16.67,647.03,8987.05,
2018-04-26,0.85,153.68,15.49,662.81,9281.51,
2018-04-25,0.80,144.76,14.46,615.42,8845.74,
2018-04-24,0.93,165.78,15.31,708.16,9697.50,
2018-04-23,0.88,152.25,11.61,642.55,8930.88,
2018-04-22,0.87,146.77,11.35,621.86,8802.46,
2018-04-21,0.87,148.93,11.11,605.40,8895.58,
2018-04-20,0.92,155.54,11.45,615.72,8845.83,
2018-04-19,0.79,146.30,9.44,567.89,8294.31,
2018-04-18,0.71,140.00,9.03,524.79,8163.42,
2018-04-17,0.66,132.93,8.51,502.89,7902.09,
2018-04-16,0.66,128.34,8.10,511.15,8058.67,
2018-04-15,0.68,132.05,8.40,531.70,8329.11,
2018-04-14,0.63,126.29,8.60,501.48,7986.24,
2018-04-13,0.64,125.35,8.74,492.74,7895.96,
2018-04-12,0.63,129.34,8.70,492.94,7889.25,
2018-04-11,0.54,118.29,8.49,430.54,6968.32,
2018-04-10,0.49,114.26,6.00,414.24,6834.76,
2018-04-09,0.49,114.99,5.87,398.53,6770.73,
2018-04-08,0.50,117.67,5.97,400.51,7023.52,
2018-04-07,0.49,116.26,5.91,385.31,6911.09,
2018-04-06,0.48,113.16,5.89,370.29,6636.32,
2018-04-05,0.50,119.13,6.40,383.23,6811.47,
2018-04-04,0.50,118.41,5.73,380.54,6853.84,
2018-04-03,0.56,134.47,6.13,416.89,7456.11,
2018-04-02,0.50,119.31,5.89,386.43,7083.80,
2018-04-01,0.49,115.22,5.66,379.61,6844.23,
2018-03-31,0.51,116.61,5.99,396.46,6973.53,
2018-03-30,0.51,118.60,6.10,394.65,6890.52,
2018-03-29,0.51,114.68,6.02,385.97,7165.70,
2018-03-28,0.58,131.75,6.29,446.28,7954.48,
2018-03-27,0.58,135.78,5.91,450.12,7833.04,
2018-03-26,0.60,149.22,5.90,489.95,8209.40,
2018-03-25,0.64,160.08,6.52,524.29,8495.78,
2018-03-24,0.64,159.63,6.63,526.44,8668.12,
2018-03-23,0.64,167.83,7.01,539.62,8879.62,
2018-03-22,0.66,163.67,7.03,539.70,8728.47,
2018-03-21,0.69,169.05,7.03,561.73,8929.28,
2018-03-20,0.71,168.82,6.01,557.18,8913.47,
2018-03-19,0.75,161.14,6.36,556.73,8630.65,
2018-03-18,0.66,154.07,4.65,538.64,8223.68,
2018-03-17,0.64,152.97,4.67,552.78,7916.88,
2018-03-16,0.69,165.45,5.09,601.67,8338.35,
2018-03-15,0.70,164.48,5.17,611.30,8300.86,
2018-03-14,0.70,161.10,5.34,614.29,8269.81,
2018-03-13,0.79,175.78,5.86,690.83,9194.85,
2018-03-12,0.80,178.23,5.83,699.83,9205.12,
2018-03-11,0.83,188.95,6.14,723.34,9578.63,
2018-03-10,0.80,177.73,5.80,686.89,8866.00,
2018-03-09,0.85,187.17,6.13,728.92,9337.55,
2018-03-08,0.83,176.51,6.20,704.60,9395.01,
2018-03-07,0.87,185.84,6.51,752.83,9965.57,
2018-03-06,0.92,196.60,7.25,816.95,10779.90,
2018-03-05,0.96,211.18,8.05,853.68,11573.30,
2018-03-04,1.01,213.80,8.18,866.68,11512.60,
2018-03-03,0.91,210.64,8.00,857.23,11489.70,
2018-03-02,0.91,212.56,8.09,856.85,11086.40,
2018-03-01,0.93,209.75,8.63,872.20,10951.00,
2018-02-28,0.90,202.90,8.41,855.20,10397.90,
2018-02-27,0.95,216.60,8.57,878.27,10725.60,
2018-02-26,0.96,220.96,8.13,869.32,10366.70,
2018-02-25,0.94,220.48,7.90,844.81,9664.73,
2018-02-24,0.95,209.42,8.19,840.52,9813.07,
2018-02-23,1.00,209.31,8.58,864.19,10301.10,
2018-02-22,0.94,195.31,8.09,812.85,10005.00,
2018-02-21,1.02,213.35,8.76,849.97,10690.40,
2018-02-20,1.09,232.85,9.28,895.37,11403.70,
2018-02-19,1.14,223.06,9.68,943.87,11225.30,
2018-02-18,1.12,215.74,9.38,923.92,10551.80,
2018-02-17,1.20,229.47,10.15,974.12,11112.70,
2018-02-16,1.14,230.12,10.02,944.21,10233.90,
2018-02-15,1.15,225.43,10.17,936.98,10166.40,
2018-02-14,1.14,213.36,9.97,923.56,9494.63,
2018-02-13,1.03,159.55,9.21,845.26,8598.31,
2018-02-12,1.08,161.57,9.18,868.71,8926.57,
2018-02-11,1.00,148.99,8.41,814.66,8129.97,
2018-02-10,1.07,155.59,9.10,860.42,8621.90,
2018-02-09,0.95,163.95,9.65,883.87,8736.98,
2018-02-08,0.81,149.47,8.51,817.81,8265.59,
2018-02-07,0.72,138.20,7.61,757.07,7621.30,
2018-02-06,0.78,142.99,8.34,793.12,7754.00,
2018-02-05,0.69,125.33,7.06,697.95,6955.27,
2018-02-04,0.82,148.03,8.61,834.68,8277.01,
2018-02-03,0.92,160.25,9.84,964.02,9174.91,
2018-02-02,0.88,131.38,9.79,915.79,8830.75,
2018-02-01,0.96,142.30,10.21,1036.79,9170.54,
2018-01-31,1.16,163.35,12.20,1118.31,10221.10,
2018-01-30,1.14,165.28,11.56,1071.13,10106.30,
2018-01-29,1.32,181.66,14.01,1182.36,11296.40,
2018-01-28,1.40,193.87,15.02,1246.01,11786.30,
2018-01-27,1.22,180.89,14.27,1107.07,11440.70,
2018-01-26,1.22,176.73,14.34,1055.17,11171.40,
2018-01-25,1.31,180.27,14.31,1056.03,11259.40,
2018-01-24,1.36,179.99,13.83,1058.78,11359.40,
2018-01-23,1.34,177.81,12.97,986.23,10868.40,
2018-01-22,1.36,180.01,13.66,1003.26,10931.40,
2018-01-21,1.38,190.42,13.44,1049.58,11600.10,
2018-01-20,1.58,211.02,15.52,1155.15,12899.20,
2018-01-19,1.55,192.96,11.18,1039.10,11607.40,
2018-01-18,1.60,192.84,10.51,1036.28,11474.90,
2018-01-17,1.31,186.52,10.19,1014.25,11188.60,
2018-01-16,1.18,188.33,10.28,1053.69,11490.50,
2018-01-15,1.68,232.77,12.94,1291.92,13819.80,
2018-01-14,1.86,238.68,13.44,1366.77,13772.00,
2018-01-13,2.02,259.19,16.23,1396.42,14360.20,
2018-01-12,2.04,236.86,13.75,1273.20,13980.60,
2018-01-11,1.95,229.37,11.35,1154.93,13405.80,
2018-01-10,1.97,250.52,11.34,1255.82,14973.30,
2018-01-09,2.10,247.04,9.33,1299.74,14595.40,
2018-01-08,2.46,255.76,9.69,1148.53,15170.10,
2018-01-07,3.38,288.45,12.52,1153.17,16477.60,
2018-01-06,3.09,296.45,12.58,1041.68,17527.00,
2018-01-05,3.05,249.27,10.84,997.72,17429.50,
2018-01-04,3.20,241.37,11.28,980.92,15599.20,
2018-01-03,3.11,245.37,10.23,962.72,15201.00,
2018-01-02,2.48,255.68,9.33,884.44,14982.10,
2018-01-01,2.39,229.03,8.84,772.64,13657.20,
